time(s),acceleration(m/s2),,
0,-0.245443,,
3.91E-05,-0.253574,,
7.81E-05,-0.374196,,
0.000117,0.495796,,
0.000156,0.579816,,
0.000195,0.444068,,
0.000234,0.004906,,
0.000273,-0.297153,,
0.000312,-0.277492,,
0.000352,-0.002361,,
0.000391,-0.186676,,
0.00043,-0.198605,,
0.000469,-0.03276,,
0.000508,-0.155697,,
0.000547,0.998246,,
0.000586,0.503874,,
0.000625,0.127704,,
0.000664,-0.503385,,
0.000703,0.757148,,
0.000742,0.452411,,
0.000781,0.081665,,
0.00082,-0.883768,,
0.000859,-0.223526,,
0.000898,-0.645427,,
0.000937,-0.665644,,
0.000977,-1.432494,,
0.001016,0.702856,,
0.001055,-0.852233,,
0.001094,-0.182747,,
0.001133,0.228677,,
0.001172,-0.025185,,
0.001211,-0.295684,,
0.00125,1.161032,,
0.001289,-0.490894,,
0.001328,-2.166713,,
0.001367,-0.063842,,
0.001406,0.398306,,
0.001445,0.529593,,
0.001484,-0.496873,,
0.001523,0.088508,,
0.001562,-0.185322,,
0.001602,-0.010487,,
0.001641,0.549345,,
0.00168,0.981741,,
0.001719,-0.485537,,
0.001758,-0.199693,,
0.001797,0.546739,,
0.001836,-0.397884,,
0.001875,-0.233695,,
0.001914,-0.708939,,
0.001953,-0.212251,,
0.001992,0.372865,,
0.002031,0.126017,,
0.00207,-0.232746,,
0.002109,0.809264,,
0.002148,0.457907,,
0.002187,-0.383906,,
0.002227,-1.405372,,
0.002266,0.834959,,
0.002305,-0.066877,,
0.002344,0.506322,,
0.002383,-0.682379,,
0.002422,0.138206,,
0.002461,-1.520727,,
0.0025,0.017584,,
0.002539,1.437463,,
0.002578,0.131954,,
0.002617,-0.317679,,
0.002656,0.052112,,
0.002695,-1.126807,,
0.002734,0.147353,,
0.002773,0.794947,,
0.002812,1.153989,,
0.002852,0.024083,,
0.002891,0.569242,,
0.00293,0.011762,,
0.002969,-1.006052,,
0.003008,0.639356,,
0.003047,1.28377,,
0.003086,0.596134,,
0.003125,0.028757,,
0.003164,-0.457212,,
0.003203,-0.86742,,
0.003242,0.466516,,
0.003281,0.313912,,
0.00332,0.209009,,
0.003359,0.46963,,
0.003398,-0.213139,,
0.003437,0.772565,,
0.003477,-0.679816,,
0.003516,1.217978,,
0.003555,1.842145,,
0.003594,-0.157106,,
0.003633,0.768122,,
0.003672,-0.180032,,
0.003711,0.019422,,
0.00375,0.102208,,
0.003789,1.309181,,
0.003828,0.348875,,
0.003867,-0.051436,,
0.003906,-0.775287,,
0.003945,-0.663728,,
0.003984,0.292709,,
0.004023,0.282739,,
0.004062,0.057983,,
0.004102,-1.259025,,
0.004141,-1.033549,,
0.00418,-0.742318,,
0.004219,-1.128403,,
0.004258,-0.589817,,
0.004297,0.910623,,
0.004336,-1.476913,,
0.004375,-1.065768,,
0.004414,1.594795,,
0.004453,-1.330941,,
0.004492,-2.113739,,
0.004531,-0.285116,,
0.00457,-0.485658,,
0.004609,-0.261597,,
0.004648,0.061979,,
0.004687,-0.36162,,
0.004727,-2.027658,,
0.004766,-0.19875,,
0.004805,-1.208221,,
0.004844,-0.946192,,
0.004883,-1.066753,,
0.004922,-1.103337,,
0.004961,-1.444537,,
0.005,0.602204,,
0.005039,0.110727,,
0.005078,-0.323568,,
0.005117,0.188574,,
0.005156,-0.213786,,
0.005195,0.901337,,
0.005234,0.592337,,
0.005273,1.321569,,
0.005312,-0.056369,,
0.005352,1.130966,,
0.005391,1.469143,,
0.00543,1.448956,,
0.005469,0.054313,,
0.005508,1.051801,,
0.005547,1.833898,,
0.005586,0.725716,,
0.005625,-0.851731,,
0.005664,0.557374,,
0.005703,0.654259,,
0.005742,-0.911616,,
0.005781,0.374546,,
0.00582,-0.783358,,
0.005859,-0.422732,,
0.005898,1.338618,,
0.005937,-0.76759,,
0.005977,-1.577402,,
0.006016,-0.281349,,
0.006055,-2.193128,,
0.006094,-1.412403,,
0.006133,-0.015898,,
0.006172,-0.178635,,
0.006211,-0.61871,,
0.00625,-0.198508,,
0.006289,-0.543602,,
0.006328,-0.037065,,
0.006367,0.103369,,
0.006406,1.821474,,
0.006445,0.88537,,
0.006484,0.13751,,
0.006523,-0.412031,,
0.006562,0.214197,,
0.006602,0.33477,,
0.006641,1.63176,,
0.00668,0.599647,,
0.006719,1.700713,,
0.006758,0.482616,,
0.006797,-1.34215,,
0.006836,1.123052,,
0.006875,1.407747,,
0.006914,1.112109,,
0.006953,0.653231,,
0.006992,-0.847741,,
0.007031,-1.460625,,
0.00707,1.45054,,
0.007109,1.468279,,
0.007148,0.55923,,
0.007187,-0.929602,,
0.007227,-1.934073,,
0.007266,-0.463959,,
0.007305,0.35616,,
0.007344,0.189747,,
0.007383,-0.380054,,
0.007422,-1.767648,,
0.007461,-0.213593,,
0.0075,-1.428382,,
0.007539,-0.395127,,
0.007578,0.888858,,
0.007617,-0.708147,,
0.007656,-1.269581,,
0.007695,0.195001,,
0.007734,-0.067754,,
0.007773,0.267153,,
0.007812,0.893949,,
0.007852,-0.536746,,
0.007891,-0.961047,,
0.00793,-0.452992,,
0.007969,0.711139,,
0.008008,-0.010094,,
0.008047,-0.926537,,
0.008086,0.014295,,
0.008125,-0.660771,,
0.008164,-0.749604,,
0.008203,-0.383325,,
0.008242,-0.426705,,
0.008281,-0.304916,,
0.00832,-0.433446,,
0.008359,-0.140365,,
0.008398,-0.735335,,
0.008437,0.914287,,
0.008477,0.26176,,
0.008516,-1.054063,,
0.008555,0.298422,,
0.008594,0.628244,,
0.008633,1.107556,,
0.008672,0.226482,,
0.008711,0.77606,,
0.00875,0.500337,,
0.008789,-0.232383,,
0.008828,0.07739,,
0.008867,1.327572,,
0.008906,0.188048,,
0.008945,0.541479,,
0.008984,-0.289711,,
0.009023,0.038267,,
0.009062,0.49709,,
0.009102,1.082829,,
0.009141,-1.005919,,
