time(s),acceleration(m/s2)
0,-3.582728
3.91E-05,2.370834
7.81E-05,2.761961
0.000117,-1.354876
0.000156,4.22927
0.000195,-1.726868
0.000234,-2.150643
0.000273,-0.825885
0.000312,6.177033
0.000352,-2.392848
0.000391,-1.831982
0.00043,-1.809878
0.000469,-4.740281
0.000508,-0.398845
0.000547,1.850663
0.000586,1.676681
0.000625,2.313452
0.000664,-2.868454
0.000703,-1.459204
0.000742,4.384184
0.000781,0.10927
0.00082,-3.152829
0.000859,-3.810592
0.000898,-1.764038
0.000937,0.601491
0.000977,-0.975182
0.001016,-1.106698
0.001055,0.131978
0.001094,1.13966
0.001133,-0.195534
0.001172,-0.641128
0.001211,1.513689
0.00125,-3.730575
0.001289,-0.740807
0.001328,0.182504
0.001367,1.455201
0.001406,1.133124
0.001445,0.93737
0.001484,2.676738
0.001523,1.678385
0.001562,3.097103
0.001602,1.635333
0.001641,-0.262643
0.00168,2.045105
0.001719,-2.977244
0.001758,2.266959
0.001797,3.000127
0.001836,-0.536147
0.001875,1.866171
0.001914,1.086897
0.001953,2.996983
0.001992,3.115132
0.002031,-2.214397
0.00207,2.488173
0.002109,3.508526
0.002148,-7.545105
0.002187,0.545348
0.002227,4.030142
0.002266,2.044646
0.002305,-2.276289
0.002344,6.104652
0.002383,0.066399
0.002422,-3.001808
0.002461,1.390075
0.0025,-0.234905
0.002539,4.687851
0.002578,-2.716539
0.002617,2.697723
0.002656,-4.573378
0.002695,3.777841
0.002734,1.430383
0.002773,-0.229941
0.002812,-2.866864
0.002852,4.379673
0.002891,-0.870425
0.00293,-4.884815
0.002969,3.389168
0.003008,3.114153
0.003047,2.494515
0.003086,-3.217986
0.003125,0.781779
0.003164,4.750661
0.003203,0.492175
0.003242,1.199508
0.003281,-0.47905
0.00332,-3.049492
0.003359,-1.348939
0.003398,0.780225
0.003437,-3.760236
0.003477,-1.324768
0.003516,4.198266
0.003555,-3.009366
0.003594,-4.243514
0.003633,-1.841359
0.003672,1.604462
0.003711,5.358673
0.00375,-2.404498
0.003789,-2.960334
0.003828,3.676457
0.003867,0.307987
0.003906,1.035658
0.003945,7.672395
0.003984,-1.911667
0.004023,-4.255189
0.004062,-0.783914
0.004102,-0.055474
0.004141,5.623991
0.00418,-10.415872
0.004219,4.961675
0.004258,-2.553082
0.004297,-12.700724
0.004336,6.093932
0.004375,-2.778364
0.004414,6.412992
0.004453,-5.376588
0.004492,2.100274
0.004531,-3.165362
0.00457,-6.447062
0.004609,13.141614
0.004648,-3.937254
0.004687,-2.474395
0.004727,2.885231
0.004766,-6.483585
0.004805,9.56687
0.004844,-3.778186
0.004883,1.293564
0.004922,1.442469
0.004961,-3.590008
0.005,2.812916
0.005039,4.549369
0.005078,-0.936942
0.005117,-5.077467
0.005156,-5.399544
0.005195,14.428054
0.005234,3.530304
0.005273,-15.287019
0.005312,7.388588
0.005352,-3.262876
0.005391,17.217757
0.00543,-8.952541
0.005469,-2.014471
0.005508,-0.44029
0.005547,9.275216
0.005586,4.909451
0.005625,-13.46972
0.005664,3.171038
0.005703,-3.755369
0.005742,3.29062
0.005781,6.309469
0.00582,-11.248041
0.005859,-0.168043
0.005898,-2.811109
0.005937,7.373492
0.005977,-6.7577
0.006016,2.988211
0.006055,-0.66663
0.006094,-2.605361
0.006133,0.631103
0.006172,1.051958
0.006211,1.315928
0.00625,-2.83158
0.006289,4.056623
0.006328,1.128058
0.006367,-1.348897
0.006406,4.63663
0.006445,-3.326763
0.006484,2.173061
0.006523,-2.026938
0.006562,1.952966
0.006602,-1.857617
0.006641,0.870491
0.00668,-2.741224
0.006719,-2.319747
0.006758,2.019688
0.006797,1.476029
0.006836,4.045783
0.006875,0.780135
0.006914,-0.601473
0.006953,2.328319
0.006992,-0.210346
0.007031,2.391245
0.00707,1.062484
0.007109,-2.013135
0.007148,2.606261
0.007187,1.745858
0.007227,-1.423316
0.007266,0.652397
0.007305,2.889947
0.007344,1.307784
0.007383,-3.412319
0.007422,-3.542118
0.007461,1.177048
0.0075,1.015507
0.007539,-2.562514
0.007578,-1.100894
0.007617,0.808599
0.007656,0.949492
0.007695,2.197571
0.007734,1.356859
0.007773,-1.372428
0.007812,3.498103
0.007852,-1.622371
0.007891,0.00539
0.00793,1.329078
0.007969,-0.279674
0.008008,1.970571
0.008047,0.171555
0.008086,1.119745
0.008125,0.529393
0.008164,-2.787959
0.008203,-1.167248
0.008242,-0.046502
0.008281,1.992784
0.00832,-4.058431
0.008359,-4.641752
0.008398,3.557776
0.008437,1.220627
0.008477,-7.081633
0.008516,2.207214
0.008555,2.326917
0.008594,0.944136
0.008633,-4.036388
0.008672,-7.034922
0.008711,1.10732
0.00875,5.080931
0.008789,0.669858
0.008828,-4.081696
0.008867,1.875391
0.008906,1.498351
0.008945,3.156637
0.008984,-4.541335
0.009023,7.955113
0.009062,-5.403329
0.009102,-13.616756
0.009141,10.038504
0.00918,1.059902
0.009219,0.348621
0.009258,-1.526937
0.009297,-8.024146
0.009336,7.373371
0.009375,-4.60443
0.009414,-2.111798
0.009453,-8.118504
0.009492,0.880225
0.009531,3.503575
0.00957,-7.193917
0.009609,-6.934941
0.009648,8.267661
0.009687,-3.252695
0.009727,0.751139
0.009766,5.246014
0.009805,-1.945978
0.009844,0.790509
0.009883,-1.829896
0.009922,-1.871589
0.009961,0.293017
0.01,7.894902
0.010039,-3.201498
0.010078,1.187604
